# SPHEREx386
# photon
# SPHEREx detector 5 subchannel 2 from https://irsa.ipac.caltech.edu/ibe/data/spherex/qr2/spectral_channels/cal-sch-v1-2026-106/spectral_channels_spx_cal-sch-v1-2026-106.fits.gz assuming a Gaussian of sigma=Bandwidth
38304.26562 0.000
38310.44141 0.147
38316.61719 0.159
38322.79688 0.171
38328.97266 0.185
38335.14844 0.199
38341.32422 0.213
38347.50000 0.229
38353.67578 0.245
38359.85547 0.262
38366.03125 0.280
38372.20703 0.298
38378.38281 0.317
38384.55859 0.337
38390.73438 0.357
38396.91406 0.379
38403.08984 0.400
38409.26562 0.422
38415.44141 0.445
38421.61719 0.468
38427.79297 0.491
38433.97266 0.515
38440.14844 0.539
38446.32422 0.564
38452.50000 0.588
38458.67578 0.613
38464.85156 0.637
38471.03125 0.662
38477.20703 0.686
38483.38281 0.710
38489.55859 0.733
38495.73438 0.756
38501.91016 0.779
38508.08984 0.801
38514.26562 0.822
38520.44141 0.842
38526.61719 0.862
38532.79297 0.880
38538.97266 0.898
38545.14844 0.914
38551.32422 0.929
38557.50000 0.943
38563.67578 0.955
38569.85156 0.966
38576.03125 0.976
38582.20703 0.984
38588.38281 0.990
38594.55859 0.995
38600.73438 0.998
38606.91016 1.000
38613.08984 1.000
38619.26562 0.998
38625.44141 0.995
38631.61719 0.990
38637.79297 0.984
38643.96875 0.976
38650.14844 0.966
38656.32422 0.955
38662.50000 0.943
38668.67578 0.929
38674.85156 0.914
38681.02734 0.898
38687.20703 0.880
38693.38281 0.862
38699.55859 0.842
38705.73438 0.822
38711.91016 0.801
38718.08984 0.779
38724.26562 0.756
38730.44141 0.733
38736.61719 0.710
38742.79297 0.686
38748.96875 0.662
38755.14844 0.637
38761.32422 0.613
38767.50000 0.588
38773.67578 0.564
38779.85156 0.539
38786.02734 0.515
38792.20703 0.491
38798.38281 0.468
38804.55859 0.445
38810.73438 0.422
38816.91016 0.400
38823.08594 0.379
38829.26562 0.357
38835.44141 0.337
38841.61719 0.317
38847.79297 0.298
38853.96875 0.280
38860.14453 0.262
38866.32422 0.245
38872.50000 0.229
38878.67578 0.213
38884.85156 0.199
38891.02734 0.185
38897.20312 0.171
38903.38281 0.159
38909.55859 0.147
38915.73438 0.000
