# col1   col2      col3     col4      col5     col6      col7     col8      col9     col10     col11    col12     col13    col14     col15    col16     col17    col18     col19    col20     col21    col22     col23    col24     col25    col26   col27   col28   col29   col30   col31   col32   col33   col34   col35   col36   col37    col38     col39    col40     col41    col42     col43    col44     col45    col46     col47    col48     col49    col50     col51    col52     col53    col54     col55    col56     col57    col58     col59    col60     col61    col62   col63   col64   col65   col66     col67    col68      col69    col70              col71                 col72              col73                 col74              col75                 col76              col77                 col78   col79   col80   col81   col82   col83   col84   col85   col86   col87   col88   col89   col90   col91   col92   col93   col94   col95   col96              col97      col98              col99      col164   col161    col162      col163     col100           
  54     23.0962   0.0216   22.3028   0.0173   21.867    0.012    22.5014   0.0147   21.9121   0.0122   21.5153   0.0099   20.8041   0.0078   20.0524   0.0063   19.5279   0.0064   19.1108   0.0314   19.0      0.0050   21.4879   0.0267   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0354   22.8923   0.0268   22.5635   0.0224   22.3638   0.0187   22.3731   0.021    22.2046   0.0167   21.9792   0.0163   21.9101   0.0148   21.5416   0.0127   21.6888   0.0138   21.5776   0.013    21.4398   0.012    20.913    0.0093   -99.9   -99.9   -99.9   -99.9   21.6809   0.0188   -99.8315   0.0095   18.5426329048658   0.00192768706210643   18.732061335759    0.0025933529850832    18.8462558232831   0.00912514287845329   18.698432408174    0.0167470800063448    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      23.1621833480873   0.042148   0.971    754529    150.31193   2.035749   422484121489407  
  56     24.0147   0.0426   23.4763   0.0373   23.0869   0.0265   23.5982   0.0323   22.7285   0.0221   22.1783   0.0168   21.4023   0.0133   21.1756   0.0109   20.112    0.0086   19.8902   0.0677   19.7632   0.0074   22.3787   0.0913   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0921   23.957    0.0483   23.5448   0.0385   23.4428   0.039    23.3843   0.0367   23.2901   0.0346   22.9348   0.0269   22.9143   0.0295   22.5673   0.0219   22.3636   0.0191   22.4079   0.0236   22.2211   0.0215   21.8388   0.0148   -99.9   -99.9   -99.9   -99.9   22.5377   0.0309   -99.8315   0.0172   19.2477486584907   0.00733566483916803   19.3565671958453   0.0078812030226017    19.5137095431925   0.0163776453150847    19.5083859859931   0.0305021521860028    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      1.081    743803    150.32356   2.100418   271656423423     
  57     22.7795   0.0279   23.048    0.037    22.8048   0.0281   22.8438   0.0273   22.8849   0.0292   22.3904   0.0229   22.2342   0.0293   22.2451   0.0203   21.7828   0.0315   21.7687   0.3401   21.4154   0.027    22.4442   0.1396   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0995   22.6423   0.022    22.8274   0.025    23.1886   0.0392   22.7126   0.0242   22.8196   0.0311   22.8632   0.0259   22.7513   0.0318   22.6681   0.0233   22.5874   0.0216   22.5584   0.0315   22.4739   0.0308   22.4577   0.0211   -99.9   -99.9   -99.9   -99.9   22.6791   0.036    -99.8315   0.0261   20.9890651441217   0.00774662727632229   20.7945792359927   0.0111008020209592    20.6070182194179   0.0383904319513477    20.9977168001905   0.133514123446479     -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      24.9159123836203   0.170384   1.797    746332    150.32424   2.089075   281746633134079  
  59     24.3718   0.0372   23.4293   0.0272   23.4116   0.023    23.7827   0.0346   23.3534   0.0223   22.8379   0.0172   22.7244   0.0204   22.3025   0.0232   21.5176   0.0249   21.1394   0.1888   21.1157   0.0211   22.8596   0.0685   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0924   23.2212   0.0302   23.9617   0.0509   23.9162   0.0406   23.6998   0.0448   23.2756   0.0274   23.6242   0.0408   23.3773   0.0311   22.7299   0.0238   22.934    0.0261   22.9409   0.0258   22.5573   0.0207   22.7854   0.0259   -99.9   -99.9   -99.9   -99.9   23.0059   0.0445   -99.8315   0.0268   20.4301978077619   0.00558673177134885   20.1303755066556   0.00600101145985689   19.8468775847712   0.0218488653065657    19.641501839134    0.0365322205753501    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      1.774    741069    150.32827   2.124965   422484121489407  
  60     20.8787   0.0089   20.4973   0.0087   20.3924   0.0069   20.6978   0.0076   20.5108   0.0074   -99.9     -99.9    20.1579   0.0065   19.9537   0.0059   19.883    0.0073   19.4898   0.0409   19.4152   0.0058   20.4039   0.0131   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0265   20.8811   0.0091   20.7326   0.0085   20.6316   0.0081   20.6361   0.0081   20.4339   0.0073   20.5748   0.0078   20.4806   0.0076   20.3551   0.0070   20.3987   0.0071   20.483    0.0076   20.5924   0.0081   20.3049   0.0069   -99.9   -99.9   -99.9   -99.9   20.4208   0.0080   -99.8315   0.0073   18.4090160595068   0.00164997434652747   18.0607396944138   0.00167254648665191   17.6734439246279   0.00348221592214721   17.375560341566    0.00489009494351646   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   21.8347850573883   0.041218   20.9229633011883   0.014717   0.906    750521    150.33437   2.061445   422484121489375  
  61     23.1831   0.0281   23.1358   0.0326   23.1439   0.0294   23.3323   0.0325   22.7603   0.0235   22.5931   0.0241   22.0567   0.0265   21.7928   0.0175   20.7242   0.0142   21.3172   0.2329   21.3043   0.0267   21.5238   0.0435   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.1023   23.7731   0.0487   23.0976   0.0304   22.9262   0.0327   23.297    0.0435   23.1054   0.0373   22.7913   0.0274   22.4076   0.0249   22.3885   0.0218   22.4504   0.022    22.547    0.0311   22.7361   0.0366   22.5214   0.0255   -99.9   -99.9   -99.9   -99.9   22.4302   0.0317   -99.8315   0.031    -99.9              -99.9                 -99.9              -99.9                 -99.9              -99.9                 -99.9              -99.9                 -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      1.478    755200    150.35781   2.02491    13958385663      
  62     21.878    0.013    21.2889   0.0116   21.4302   0.0104   21.77     0.0142   21.6031   0.0113   -99.9     -99.9    21.1593   0.0099   21.372    0.0121   20.8795   0.0147   21.0801   0.2006   20.5903   0.0135   21.2099   0.0211   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.039    21.9671   0.0154   21.487    0.0122   21.5556   0.0101   21.8113   0.0145   21.6182   0.0103   21.6547   0.0132   21.6373   0.0106   21.1605   0.0104   21.3151   0.0111   21.3663   0.0093   21.3675   0.0094   20.7866   0.0086   -99.9   -99.9   -99.9   -99.9   21.4126   0.0149   -99.8315   0.0084   20.0982278068872   0.00418689454697227   19.7155732329615   0.00441226232693476   19.2939979909866   0.0123558478950075    18.8574756822703   0.0176616278121299    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      23.3008445964453   0.058719   1.916    742779    150.37364   2.112033   422484121489375  
  64     26.8201   0.243    24.403    0.0601   23.2755   0.0296   24.5215   0.0415   23.2682   0.0295   23.2849   0.0299   23.2818   0.0475   23.2462   0.0484   22.6614   0.0645   22.1575   0.5081   21.7758   0.0352   23.3247   0.1833   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.2373   24.9538   0.0947   24.6087   0.0785   24.2542   0.0682   24.2393   0.0647   22.7664   0.0262   23.8233   0.0462   23.3528   0.0401   22.7691   0.025    23.3187   0.0326   23.2544   0.0416   23.3607   0.0444   23.1662   0.0318   -99.9   -99.9   -99.9   -99.9   23.2564   0.0521   -99.8315   0.0396   21.7564134193798   0.0159203969614768    21.5853157899325   0.0219552413200159    21.5835456887509   0.102367541186453     21.1348900635101   0.150469136906276     -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      3.328    991118    150.36472   2.143776   271656423423     
  65     22.563    0.0217   22.2521   0.0218   21.8793   0.0155   22.3139   0.0179   22.1745   0.0178   21.8218   0.0148   21.461    0.0145   21.2333   0.0116   20.8351   0.016    20.8804   0.1554   20.5391   0.0132   21.9375   0.0616   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0537   22.4373   0.0195   22.4362   0.0198   22.2437   0.0182   22.2951   0.0187   21.8957   0.015    22.1198   0.0168   21.9237   0.0155   21.8725   0.0148   21.8631   0.0145   22.0184   0.0169   21.8229   0.0152   21.6997   0.0137   -99.9   -99.9   -99.9   -99.9   21.8671   0.0187   -99.8315   0.0165   20.0476501206301   0.00444636481743115   20.0564728164094   0.00638742959326134   19.8640790475705   0.0234987850232512    19.7496517090147   0.0440089861058665    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   23.6243879528493   0.063732   22.5178392800493   0.023459   0.894    975078    150.3499    2.246106   422484121489407  
  66     23.5527   0.0274   23.174    0.0266   23.2835   0.024    23.5553   0.0327   22.8804   0.0195   22.5347   0.0164   22.3468   0.0183   21.5376   0.0142   20.8515   0.0156   20.7076   0.1515   20.5063   0.0129   22.5559   0.0624   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   0.0846   23.7033   0.0399   23.6005   0.0392   23.2199   0.026    23.4734   0.0384   23.3982   0.0285   23.1986   0.0311   22.7885   0.0212   22.3358   0.0194   22.2189   0.0176   22.6263   0.0201   22.7578   0.0218   22.3807   0.0204   -99.9   -99.9   -99.9   -99.9   22.2569   0.0252   -99.8315   0.0213   19.9873225110596   0.0038110698791178    19.7656290121753   0.00474313605091258   19.6082284563557   0.0158916937402171    19.562426091087    0.0350394779084685    -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.9   -99.0              -99.0      -99.0              -99.0      1.511    983048    150.37827   2.196406   281746633134079  
